Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
XXII,"22nd Century Group, Inc",2.66,328680551.2,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.78,1205185339,n/a,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.44,146460579.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",9.42,88149439.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,15.17,143884613.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",8.69,75818416.41,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",7.86,72761631.3,n/a,1990,n/a,n/a,https://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",20.062,79153979.02,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,24.0501,81146504.46,n/a,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.55,44040095,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",41.99,177096856,n/a,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,14.78,20938811.22,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
AIRI,Air Industries Group,1.36,33809900.56,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.31,132696515.5,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,2.61,116611409.6,n/a,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.9021,92194281.71,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.7,56075435.1,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,68,108456124,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,87.5,60417525,n/a,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
ALN,American Lorain Corporation,0.193,7386948.971,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,2.6,14846000,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,3.68,152821678.4,n/a,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",2.57,195170449.1,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,1.31,17683595.68,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aphb
ARNC^,Arconic Inc.,88.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arnc^
AKG,Asanko Gold Inc.,0.8927,181619776.6,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,97.5,204040297.5,n/a,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",2.2,119132512.4,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ast
AUG,Auryn Resources Inc.,1.51,118914357.3,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.18,8291261.58,n/a,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/awx
ASM,Avino Silver,1.33,70115143.49,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,3.02,2962417382,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",5.15,74242606,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",17.5363,120561010.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,21.39,112295361,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,24.7695,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",28.45,439353350,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",2.09,17299264.4,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,17.3,151537204.8,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.163,20783956.89,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",2.74,347611870,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,1.2,21553057.2,n/a,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,13.2982,27650428.63,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.6437,32298840.16,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,13.57,318899464.5,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,13.75,32008913.75,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,13.83,69214295.67,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,16.25,26012983.75,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.62,5035537.7,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",7.74,188043005.9,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",25.3867,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",24.6015,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",23.25,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,2.52,82809178.2,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,7.35,77933174.55,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.0911,8486958.354,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.83,29929558.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.24,206015879.1,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3,21020052,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,1.8,29882806.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cvm.ws
CET,Central Securities Corporation,27.2,674862763.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,3.6277,32789877,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,109.1,1022795044,n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",27.63,6401871000,n/a,2013,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",30,14520048690,n/a,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",55.71,13240299211,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,33,31882356,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.4195,18281624.16,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi
XNY,China Xiniya Fashion Limited,4.76,22581901.72,n/a,2010,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/xny
CISN.WS,Cision Ltd.,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cisn.ws
